wavelength red green blue
400 0.0419094112893366 0.0455717320599443 0.235476010876907
401 0.0408847598014059 0.0456535791365625 0.243079843793369
402 0.0398601083134752 0.0457436490475583 0.250352175340874
403 0.0388354572104996 0.0458427795466959 0.25725727564969
404 0.0378108209562453 0.0459518083877395 0.263759528979254
405 0.0367862135909563 0.046071573324453 0.269862936666361
406 0.0357616442595484 0.0462029121106008 0.275637045098763
407 0.0347371221069369 0.0463466624999469 0.281157552029498
408 0.0337126562780374 0.0465036622462554 0.286496543204953
409 0.0326882559177654 0.0466747491032905 0.291692363062768
410 0.0316639301710364 0.0468607608248163 0.296764955588365
411 0.0306396909718796 0.0470625351645969 0.301734071747169
412 0.0296167959551229 0.0472809119432105 0.30661612863911
413 0.0285997051745731 0.0475169690977008 0.311418972739338
414 0.0275933861994215 0.0477722407214938 0.316149092261026
415 0.0266028065988594 0.0480483124486366 0.320812975417347
416 0.0256329339420784 0.0483467699131763 0.325417110421473
417 0.0246887357982698 0.0486691987491604 0.329967985486577
418 0.023775179736625 0.0490171845906361 0.334472088825832
419 0.0228972323134901 0.0493923130716505 0.338935898936063
420 0.0220583569706526 0.049796169826251 0.343351474754156
421 0.0212574982164315 0.0502303404884847 0.347667524541134
422 0.0204927548233743 0.050696410692399 0.351824643312374
423 0.0197622255640288 0.051195966072041 0.355765657054027
424 0.0190640092109424 0.0517305922614581 0.359480828908585
425 0.0183962045366628 0.0523018748946974 0.363005801238164
426 0.0177569103137375 0.0529113996058063 0.366378035534494
427 0.0171442253147143 0.0535607520288319 0.369634993289308
428 0.0165562500127825 0.0542515177978216 0.372814119204327
429 0.0159918717731016 0.0549852825468224 0.375945089195912
430 0.0154520125151133 0.0557636319098818 0.379037492540666
431 0.0149379186073131 0.056588151521047 0.382097715311759
432 0.014450836418196 0.0574604270143651 0.385132143582363
433 0.0139920123162575 0.0583820440238835 0.388147163425649
434 0.0135626926699927 0.0593545881836494 0.391146156355843
435 0.0131641238478969 0.0603800521015518 0.394108737520241
436 0.0127975514365122 0.0614627400925384 0.397003226959274
437 0.0124629914734211 0.062607771639386 0.399797876110048
438 0.0121567417623725 0.0638202671444388 0.402460936409669
439 0.011874399972033 0.0651053470100412 0.404961023493511
440 0.0116115637710693 0.0664681316385376 0.407280186417614
441 0.0113638308281483 0.0679137414322723 0.409417516634086
442 0.0111267988119366 0.0694472967935895 0.411373204424746
443 0.010896065391101 0.0710739181248337 0.413147440071416
444 0.0106672282343081 0.0727987258283492 0.414740413855917
445 0.0104358892486925 0.0746268403064802 0.416152316060071
446 0.0101997203821921 0.0765633819615712 0.417383320168682
447 0.00996179206663819 0.0786134711959664 0.418431587239722
448 0.00972604370074433 0.0807822284120103 0.419291380616501
449 0.00949641468322406 0.0830747740120471 0.419956517311956
450 0.00927684441279087 0.0854962283984211 0.420420814339023
451 0.00907127228815829 0.0880517119734767 0.420678088710636
452 0.00888363770803983 0.0907460779474199 0.420722157439731
453 0.008717880071149 0.0935826477662024 0.420546837539244
454 0.00857794317612786 0.0965641980070304 0.420145965061098
455 0.00846874024972824 0.0996935045886391 0.419517570881949
456 0.00839736571907885 0.102973343429764 0.418669124178416
457 0.00837121199574373 0.106406490449139 0.417609383539368
458 0.0083976714912869 0.1099957215655 0.416347107553673
459 0.00848413661727238 0.113743812697583 0.414891054810201
460 0.00863799978526421 0.117653539764122 0.413249983897818
461 0.0088666534068264 0.121727678548623 0.411432653405395
462 0.00917748989352298 0.125966249182503 0.409447821921799
463 0.00957783042003199 0.130359434998879 0.407304248035899
464 0.0100662030362129 0.134895225299759 0.405010690336563
465 0.0106239641346995 0.139560757642287 0.40257590741266
466 0.011230483997632 0.144319221523881 0.400008657853059
467 0.0118651329071507 0.149107153600941 0.397317700246628
468 0.012507281145396 0.153862444273876 0.394507679176229
469 0.0131362989945082 0.158545081854564 0.391550161307374
470 0.0137315567366275 0.163125703588917 0.388400773131299
471 0.0142724592951137 0.167575015142435 0.385015038723345
472 0.0147462455013877 0.171863656468071 0.381348482158854
473 0.0151578796461124 0.175957183314978 0.3773577220604
474 0.0155147631403171 0.17981253335396 0.373040696989684
475 0.0158242973950315 0.183388780700352 0.368448320314632
476 0.016093883821285 0.186686920378226 0.363634976129217
477 0.016330923830107 0.189738967686183 0.35864879911791
478 0.0165428188325272 0.192577666866824 0.35349540646497
479 0.0167369702395749 0.19523576216275 0.348162705692972
480 0.0169207892252152 0.197745997816565 0.342638479997927
481 0.0171029165248794 0.200141361205707 0.336902211932122
482 0.0172944072647106 0.202467731274872 0.330917084743036
483 0.0175065976891664 0.204790050034634 0.324644383877158
484 0.017750824042704 0.20717479644625 0.318046943325107
485 0.0180384225697807 0.209688449470978 0.311105577144009
486 0.0183807295148539 0.212397488070075 0.303812689110242
487 0.0187890811223809 0.215368391204799 0.296176628972035
488 0.0192748136368191 0.218667609204479 0.288272256503005
489 0.0198491697641965 0.222354855583624 0.280192021099038
490 0.0205160366158517 0.226474471651051 0.272031510438013
491 0.0212667655791041 0.231068664781511 0.263891660428974
492 0.0220914852491923 0.236179642349753 0.255873928671993
493 0.0229803242213549 0.241849611730529 0.248079772767139
494 0.0239234110908305 0.248103474838198 0.240596738519076
495 0.0249108744528577 0.254847274977491 0.233416821881124
496 0.025932842902675 0.261937159379815 0.22649592925397
497 0.0269794826779876 0.269247822574404 0.219804457007404
498 0.0280457979438672 0.276703627254576 0.213315833304903
499 0.0291363451411653 0.284236900120323 0.206988949854071
500 0.0302568003393265 0.291774741456191 0.200761088333773
